date,lon,lat,speed,id
2015-01-01T00:00:00,-77.16857352080841,5.36328777248622,2.2512651583156527,Acadian_Flycatcher
2015-01-08T00:00:00,-77.0069214011105,5.47881553873037,2.7022554341921823,Acadian_Flycatcher
2015-01-15T00:00:00,-76.78182504170091,5.56426955490648,3.0447683204241325,Acadian_Flycatcher
2015-01-21T00:00:00,-76.57365156939541,5.60323627796424,2.9861797146620703,Acadian_Flycatcher
2015-02-01T00:00:00,-76.27059860834001,5.623544095737571,1.6657978289791435,Acadian_Flycatcher
2015-02-08T00:00:00,-76.2184503463698,5.66982065774365,1.208028092251576,Acadian_Flycatcher
2015-02-15T00:00:00,-76.34166447818191,5.83329565057865,4.983139842693172,Acadian_Flycatcher
2015-02-21T00:00:00,-76.619162833644,6.1835624237216695,10.64910486732574,Acadian_Flycatcher
2015-03-01T00:00:00,-77.2834840862138,7.13828989808899,19.495413338307998,Acadian_Flycatcher
2015-03-08T00:00:00,-78.1796148084863,8.590792118662879,28.662561296511754,Acadian_Flycatcher
2015-03-15T00:00:00,-79.41005596181391,10.769280267627302,41.9614515344386,Acadian_Flycatcher
2015-03-21T00:00:00,-80.7459507119801,13.2852926333883,56.829630842219835,Acadian_Flycatcher
2015-04-01T00:00:00,-83.5514261366315,19.0228230629501,67.8412070569181,Acadian_Flycatcher
2015-04-08T00:00:00,-85.29693480484529,23.0348127908952,67.97218603282646,Acadian_Flycatcher
2015-04-15T00:00:00,-86.78334990798109,26.888601031052605,58.655443120589986,Acadian_Flycatcher
2015-04-21T00:00:00,-87.6783801817449,29.733812167898503,48.50576407475578,Acadian_Flycatcher
2015-05-01T00:00:00,-88.17943758214109,33.0932075344322,29.24748231769629,Acadian_Flycatcher
2015-05-08T00:00:00,-88.0374168291238,34.5440166537798,19.005029547598625,Acadian_Flycatcher
2015-05-15T00:00:00,-87.7573237360651,35.4033488089094,10.843012432045851,Acadian_Flycatcher
2015-05-21T00:00:00,-87.51261580751259,35.7945713763725,5.590539872150884,Acadian_Flycatcher
2015-06-01T00:00:00,-87.2624230385407,36.0641661280789,1.2980696113842318,Acadian_Flycatcher
2015-06-08T00:00:00,-87.2601972886816,36.1039845179578,0.2408189889193574,Acadian_Flycatcher
2015-06-15T00:00:00,-87.2960699312519,36.1042082248948,0.06851272813797386,Acadian_Flycatcher
2015-06-21T00:00:00,-87.30844153372992,36.105140680343105,0.11590316658927492,Acadian_Flycatcher
2015-07-01T00:00:00,-87.2684096074159,36.1551606127098,1.0296336534591457,Acadian_Flycatcher
2015-07-08T00:00:00,-87.19447001962351,36.2494508808881,1.7272545628512592,Acadian_Flycatcher
2015-07-15T00:00:00,-87.1205460858531,36.348556950485396,1.3068615770295857,Acadian_Flycatcher
2015-07-21T00:00:00,-87.0991475471938,36.3808023726746,0.02931161693570637,Acadian_Flycatcher
2015-08-01T00:00:00,-87.2078361336584,36.17847828286239,3.9349190510050494,Acadian_Flycatcher
2015-08-08T00:00:00,-87.31258584399549,35.819095255944,7.118086581125721,Acadian_Flycatcher
2015-08-15T00:00:00,-87.3902013639899,35.2752855202162,9.415825632050591,Acadian_Flycatcher
2015-08-21T00:00:00,-87.42335450680929,34.7657394857477,9.197635538033666,Acadian_Flycatcher
2015-09-01T00:00:00,-87.3857216548623,34.0581641190024,5.732461644324893,Acadian_Flycatcher
2015-09-08T00:00:00,-87.2584054936465,33.664705243475396,7.53601475931454,Acadian_Flycatcher
2015-09-15T00:00:00,-87.0047133465299,33.0159515752614,13.16303519398017,Acadian_Flycatcher
2015-09-21T00:00:00,-86.6380817662944,32.066837827610996,21.794552477852978,Acadian_Flycatcher
2015-10-01T00:00:00,-85.49778800463821,29.2853124906043,40.18126449455859,Acadian_Flycatcher
2015-10-08T00:00:00,-84.2062382484461,26.218773016483997,54.351668557153054,Acadian_Flycatcher
2015-10-15T00:00:00,-82.7042058905371,22.476448747124,63.39969637603003,Acadian_Flycatcher
2015-10-21T00:00:00,-81.4369520477388,19.049912743016698,65.68917449171231,Acadian_Flycatcher
2015-11-01T00:00:00,-79.4687214996765,13.093533833018201,55.94367414363163,Acadian_Flycatcher
2015-11-08T00:00:00,-78.5157183993322,10.0303989964439,43.557731409134,Acadian_Flycatcher
2015-11-15T00:00:00,-77.821418309796,7.81811070249776,29.67473751235712,Acadian_Flycatcher
2015-11-21T00:00:00,-77.42188300166559,6.52943894765039,20.730216590817125,Acadian_Flycatcher
2015-12-01T00:00:00,-77.1347213878319,5.38572671187295,7.520030897466219,Acadian_Flycatcher
2015-12-08T00:00:00,-77.13867050543709,5.12591489352011,2.0346658599651395,Acadian_Flycatcher
2015-12-15T00:00:00,-77.1997051646181,5.10753155141007,0.6958119370089774,Acadian_Flycatcher
2015-12-21T00:00:00,-77.2337153849041,5.1717101300409,1.5506725408722217,Acadian_Flycatcher
2015-01-01T00:00:00,-68.25038682202971,-12.400970035025802,1.6136245064955352e-08,Alder_Flycatcher
2015-02-08T00:00:00,-71.24618669616021,-7.24743089095651,24.610642234293326,Alder_Flycatcher
2015-03-01T00:00:00,-74.04315456346721,-6.65572596305866,32.405425149416686,Alder_Flycatcher
2015-03-21T00:00:00,-77.59922593629001,-3.54313425797599,35.36102788941582,Alder_Flycatcher
2015-04-01T00:00:00,-79.83111775785291,0.5690442089123621,55.672129582922715,Alder_Flycatcher
2015-04-15T00:00:00,-82.7208227892615,8.93735818224116,389.5257622113425,Alder_Flycatcher
2015-04-21T00:00:00,-83.9039619199571,13.7561582825366,369.4275301018859,Alder_Flycatcher
